N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87,82.00,6.5,202.9,rice
85,58,41,21.77,80.31,7.03,226.6,rice
60,55,44,23.00,81.60,6.9,250.0,rice
74,35,40,26.49,80.15,6.98,242.8,rice
69,50,40,25.11,79.50,6.4,210.2,maize
65,45,35,24.50,70.20,6.8,140.5,maize
70,48,38,27.20,72.10,6.9,160.0,maize
100,70,50,22.30,65.40,6.3,120.8,wheat
98,65,55,21.80,68.50,6.5,118.2,wheat
95,60,48,20.90,66.10,6.8,110.0,wheat
50,35,20,30.10,55.00,7.1,95.0,cotton
55,40,22,31.20,58.00,7.0,100.0,cotton
45,38,25,29.90,56.20,6.9,90.5,cotton
40,20,25,28.40,65.50,6.4,130.2,groundnut
38,18,22,27.80,62.40,6.3,125.0,groundnut
42,21,24,29.00,63.80,6.5,135.4,groundnut
82,41,39,26.70,74.80,6.6,170.2,maize
78,42,42,20.13,81.60,6.7,220.1,rice
75,30,40,18.50,70.00,6.5,130.0,potato
80,35,45,24.00,75.00,6.8,150.0,tomato
85,45,50,28.00,80.00,6.7,200.0,sugarcane
70,40,35,26.00,65.00,7.0,120.0,pulses
60,35,30,29.00,60.00,6.9,100.0,millet
